"analysis","k","pooled_auc","ci_lo","ci_hi","pred_lo","pred_hi","tau2","Q","I2"
"Fixed-effects (logit)",22,0.929226059518375,0.927775080271043,0.930650067889053,0.92777505335811,0.930650093810757,0,2791.20840738172,99.2476376918161
"REML (logit)",22,0.963456533891093,0.939638976544764,0.97809512670839,0.691886532742841,0.996779831035935,1.50701194606228,2791.20840738172,99.2476376918161
"REML (logit), exclude AUC≥0.99",19,0.947404197951204,0.924540289328682,0.963613108167019,0.772201530829879,0.989660544506259,0.687601516659017,2586.66459313349,99.3041231535089
"REML (logit), external-only (Yes)",6,0.977489935594518,0.955820352838668,0.988656983716248,0.888880059217814,0.995775827664345,0.618603615999579,21.8142585297465,77.0792117770958
"REML (raw AUC scale)",22,0.942491916631009,0.919714824254605,0.965269009007413,0.834662542234589,1.05032129102743,0.00289159698539161,5952.02293796027,99.6471787790657
